identifiantNotice	typeEntite	formeAutoriseeNomEntite
FRAN_NP_000005	collectivité	France. Ministère de la Culture et de la Communication (1959-....)
FRAN_NP_000016	collectivité	France. Ministère de l'Éducation nationale (1828-....)
FRAN_NP_000051	collectivité	France. Ministère des affaires culturelles. Direction de l'architecture (1959-1978)
FRAN_NP_003529	collectivité	France. Direction des bibliothèques et de la lecture publique. Bureau de la gestion et du contrôle financiers (1945-1975)
FRAN_NP_003530	collectivité	France. Direction des bibliothèques et de la lecture publique. Division des services administratifs. Bureau des affaires générales (1965-1975)
FRAN_NP_003531	collectivité	France. Direction des bibliothèques et de la lecture publique. Bureau du personnel (1945-1975)
FRAN_NP_003532	collectivité	France. Direction des bibliothèques et de la lecture publique. Division des affaires administratives (1965-1975)
FRAN_NP_003549	collectivité	France. Direction des bibliothèques et de la lecture publique. Services techniques. Section des bibliothèques d'étude et de recherche (1971-1975)
FRAN_NP_003550	collectivité	France. Direction des bibliothèques et de la lecture publique. Services techniques. Section des affaires communes (1971-1975)
FRAN_NP_003551	collectivité	France. Direction des bibliothèques et de la lecture publique. Services techniques. Section de la lecture publique (1968-1975)
FRAN_NP_003552	collectivité	France. Direction des bibliothèques et de la lecture publique. Services techniques (1945-1975)
FRAN_NP_003944	collectivité	France. Ministère des Universités (1974-1981)
FRAN_NP_003971	collectivité	École nationale supérieure des sciences de l'information et des bibliothèques (Villeurbanne, Rhône)
FRAN_NP_005055	collectivité	France. Ministère de la Culture et de la Communication. Service national des travaux (1990-2010)
FRAN_NP_005061	collectivité	Archives nationales (France ; 1790-....)
FRAN_NP_005073	collectivité	France. Ministère de la Culture et de la Communication. Direction des Archives de France (1897-2010)
FRAN_NP_005074	collectivité	Bibliothèque nationale (France)
FRAN_NP_005075	collectivité	Centre national du livre (France)
FRAN_NP_005076	collectivité	France. Direction du Livre et de la Lecture. Bureau des affaires générales (1976-2010)
FRAN_NP_005077	collectivité	France. Direction du Livre et de la Lecture. Bureau des bibliothèques territoriales (1993-2010)
FRAN_NP_005078	collectivité	France. Direction du Livre et de la Lecture. Bureau du développement de la lecture (1993-2010)
FRAN_NP_005080	collectivité	France. Direction du Livre et de la Lecture. Bureau de la coopération et de la formation (1987-1988)
FRAN_NP_005081	collectivité	France. Direction du Livre et de la Lecture. Bureau des établissements, du patrimoine et de l'action culturelle (1987-1988)
FRAN_NP_005082	collectivité	France. Direction du Livre et de la Lecture. Bureau des établissements, de la formation et de la lecture (1989-1993)
FRAN_NP_005083	collectivité	France. Direction du Livre et de la Lecture. Bureau du patrimoine, de l'informatique et de l'audiovisuel (1989-1993)
FRAN_NP_005084	collectivité	France. Ministère de la Culture et de la Communication. Direction du Livre et de la Lecture. Département des bibliothèques et de la lecture (1976-1993)
FRAN_NP_005085	collectivité	France. Direction du Livre et de la Lecture. Département des bibliothèques territoriales et du développement de la lecture (1995-2010)
FRAN_NP_005086	collectivité	France. Conseil supérieur des bibliothèques (1989-2001)
FRAN_NP_005089	collectivité	Fédération interrégionale du livre et de la lecture (1985-....)
FRAN_NP_005090	collectivité	France. Inspection générale des bibliothèques (1822-....)
FRAN_NP_005094	collectivité	France. Direction du Livre et de la Lecture. Mission de la communication, de l'innovation et de l'action régionale (1987-1993)
FRAN_NP_005095	collectivité	France. Direction du Livre et de la Lecture. Bureau de la politique documentaire (1995-2010)
FRAN_NP_005096	collectivité	France. Direction du Livre et de la Lecture. Bureau du patrimoine (1993-2010)
FRAN_NP_005097	collectivité	France. Direction du Livre et de la Lecture. Département des politiques documentaires et patrimoniales (1995-2010)
FRAN_NP_005099	collectivité	France. Ministère de la Culture et de la Communication. Direction du Livre et de la Lecture (1976-2010)
FRAN_NP_005170	collectivité	France. Ministère de la Culture et de la Communication. Direction du patrimoine (1978-1998)
FRAN_NP_005198	collectivité	France. Ministère des Affaires culturelles. Direction de l'architecture. Sous-direction des sites et des espaces protégés (1968-1978)
FRAN_NP_005205	collectivité	France. Direction générale des arts et des lettres (1944-1969)
FRAN_NP_005406	collectivité	France. Ministère de la Culture et de la Communication. Direction de l'architecture et du patrimoine (1998-2010)
FRAN_NP_005422	collectivité	Bibliothèque publique d'information (Paris)
FRAN_NP_005427	collectivité	Opérateur du patrimoine et des projets immobiliers de la culture (France)
FRAN_NP_005429	collectivité	France. Mission interministérielle de coordination des grandes opérations d'architecture et d'urbanisme (1986-1998)
FRAN_NP_005437	collectivité	France. Ministère de la Culture et de la Communication. Direction générale des patrimoines (2010-....)
FRAN_NP_005439	collectivité	France. Ministère de la Culture et de la Communication. Direction générale des Médias et des Industries culturelles (2010-....)
FRAN_NP_005568	collectivité	France. Ministère de la Culture et de la Communication. Service interministériel des Archives de France (2009-….)
FRAN_NP_005588	collectivité	France. Ministère de la Culture et de la Communication. Direction générale des patrimoines. Service du patrimoine (2010-....)
FRAN_NP_005628	collectivité	France. Direction générale des Médias et des Industries culturelles. Service du Livre et de la Lecture (2010-....)
FRAN_NP_005629	collectivité	France. Direction générale des Médias et des Industries culturelles. Service du Livre et de la Lecture. Département du patrimoine et de la politique numérique (2010-2012)
FRAN_NP_005630	collectivité	France. Direction générale des Médias et des Industries culturelles. Service du Livre et de la Lecture. Département de la lecture (2010-2012)
FRAN_NP_005632	collectivité	France. Direction générale des Médias et des Industries culturelles. Service du Livre et de la Lecture. Département de la tutelle et du réseau (2010-2012)
FRAN_NP_005655	collectivité	France. Ministère de la Culture et de la Communication. Direction de l'architecture (1996-1998)
FRAN_NP_005662	collectivité	France. Ministère de la Culture et de la Communication. Direction de l'architecture et du patrimoine. Service de la connaissance, de la conservation et de la création (1998-2001)
FRAN_NP_005670	collectivité	France. Direction du Livre et de la Lecture. Bureau des bibliothèques municipales (1976-1987)
FRAN_NP_005671	collectivité	France. Direction du Livre et de la Lecture. Bureau des bibliothèques centrales de prêt (1976-1987)
FRAN_NP_005672	collectivité	France. Direction du Livre et de la Lecture. Bureau des études et des actions communes (1976-1987)
FRAN_NP_005673	collectivité	France. Direction du Livre et de la Lecture. Département des bibliothèques de l'État et des affaires générales (1993-1995)
FRAN_NP_005674	collectivité	France. Direction du Livre et de la Lecture. Département de l'action régionale et des bibliothèques territoriales (1993-1995)
FRAN_NP_005675	collectivité	France. Direction du Livre et de la Lecture. Bureau de la tutelle et des projets nationaux (1993-1995)
FRAN_NP_009801	collectivité	France. Direction générale des Médias et des Industries culturelles. Service du Livre et de la Lecture. Département des bibliothèques (2012-....)
FRAN_NP_009802	collectivité	France. Direction générale des Médias et des Industries culturelles. Service du Livre et de la Lecture. Département des ressources et de l'action territoriale (2012-....)
FRAN_NP_009803	collectivité	France. Service du Livre et de la Lecture. Département des bibliothèques. Bureau de la lecture publique (2012-....)
FRAN_NP_009804	collectivité	France. Service du Livre et de la Lecture. Département des bibliothèques. Bureau du patrimoine (2012-....)
FRAN_NP_009807	collectivité	France. Service du Livre et de la Lecture. Département des ressources et de l'action territoriale. Bureau des moyens et des territoires (2012-....)
FRAN_NP_009808	collectivité	France. Service du Livre et de la Lecture. Département des ressources et de l'action territoriale. Bureau de la filière des professionnels des bibliothèques (2012-....)
FRAN_NP_009943	collectivité	France. Direction des bibliothèques et de la lecture publique (1945-1975)
FRAN_NP_009963	collectivité	École nationale des chartes (Paris ; 1821-....)
FRAN_NP_050095	personne	Saulcy, Félicien de (1807-1880)
FRAN_NP_050218	famille	Vitet (famille ; 1701-1900)
FRAN_NP_050312	personne	Favier, Jean (1932-2014)
FRAN_NP_050348	personne	Janneau, Guillaume (1887-1981)
FRAN_NP_050583	personne	Fould, Achille (1800-1867)
FRAN_NP_050753	personne	Léon, Paul (1874-1962)
FRAN_NP_050789	personne	Jeanneney, Jean-Noël (1942-....)
FRAN_NP_050836	personne	Jaujard, Jacques (1895-1967)
FRAN_NP_051119	collectivité	Établissement public de maîtrise d'ouvrage des travaux culturels (France)
FRAN_NP_051120	collectivité	France. Ministère de l'Intérieur. Direction des Beaux-Arts. Bureau des Monuments historiques (1839-1848)
FRAN_NP_051121	collectivité	France. Ministère de l'Intérieur. Direction des Beaux-Arts. Bureau des Beaux-Arts, des Musées et des Monuments historiques (1848-1852)
FRAN_NP_051122	collectivité	France. Ministère d’État. Division des Beaux-Arts. Service des Monuments historiques (1853-1858)
FRAN_NP_051123	collectivité	France. Ministère d'État. Bureau des Monuments historiques (1858-1863)
FRAN_NP_051124	collectivité	France. Ministère de la maison de l'Empereur. Surintendance des Beaux-Arts. Bureau des Monuments historiques (1863-1870)
FRAN_NP_051125	collectivité	France. Ministère de l'Instruction publique. Direction des Beaux-Arts. Bureau des Monuments historiques (1870-1907)
FRAN_NP_051126	collectivité	France. Ministère de l'Éducation nationale. Direction des Beaux-Arts. Bureau des Monuments historiques (1907-1939)
FRAN_NP_051149	collectivité	France. Ministère de l'Éducation nationale. Secrétariat général des Beaux-Arts. Direction des services d'architecture. Bureau des Monuments historiques et Sites (1940-1944)
FRAN_NP_051150	collectivité	France. Ministère de l'Éducation nationale. Direction de l'architecture. Sous-direction des Monuments Historiques et des Sites (18 août 1945-8 janvier 1959)
FRAN_NP_051151	collectivité	France. Ministère de la Culture et de la Communication. Direction de l'Architecture et du Patrimoine. Sous-direction des Monuments Historiques et des Espaces protégés (1959-2009)
