"Datatype property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Example(s) (skos:example)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:accruals","accruals","accroissements","ingresos","Information on the anticipated accession(s) to the Record Set.","See also accrualsStatus","corresponds to RiC-A01 (Accruals attribute)","","RecordSet","rdfs:Literal","Accruing - there is an agreement with the creator that additional snapshots of their email directory will be accessioned at yearly intervals [en]; Non-accruing [en]; Unknown [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the IRI, mapping to RiC-CM (rico:RiCCMCorrespondingComponent), labels, skos:scopeNote, examples (skos:example)."
"rico:accrualsStatus","accruals status","statut des accroissements","estado de los ingresos","Information on the status of possible accruals","A text statement or single words such as “Closed” to indicate that no additional Record Resource will (or is anticipated to) be added to the Record Set; “Open” to indicate that additional records or record sets will (or are expected to) be added to the Record Set; or “Unknown” to indicate that this information is not available, for example. See also accruals","specialization of RiC-A01 (Accruals attribute)","","RecordSet","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the IRI, mapping to RiC-CM (rico:RiCCMCorrespondingComponent), labels, description (rdfs:comment), skos:scopeNote."
"rico:altimetricSystem","altimetric system","système altimétrique","sistema altimétrico","Reference system used for altitude","","","referenceSystem","Coordinates","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:altitude","altitude","altitude","altitud","The height of a Place above a reference level, especially above sea level.","Property of the Coordinates class. If you don't use this class, use geographicalCoordinates property, a property of Place class.","","measure","Coordinates","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:authenticityNote","authenticity note","note sur l’authenticité","nota de autenticidad","Description of the evidence that a Record Resource or Instantiation is what it purports to be, was created or sent by the said Agent at the said time, and has not been tampered with, corrupted, or forged.","May be used in a Record Set description when its value is shared by some or all members of the Record Set. For digital records, it may include results from automated means of checking the validity of signatures and timestamp. In particular cases it may be contextually related to the state attribute, for example, a document can be an original or a copy, either of which can be authentic or a forgery.","Corresponds to RiC-A03 (Authenticity Note attribute)","","Instantiation; RecordResource","rdfs:Literal","The letter is unsigned. [en]; The deed is digitally signed by the Notary. The electronic signature validity cannot be assessed, but the content was not modified from the moment of signing. [en]; The timestamp exists but cannot be verified. [en]; The record bears signatures. [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote, examples (skos:example)."
"rico:authorizingMandate","authorizing mandate","mandat","norma de control","Information on a Mandate that authorizes an Agent to perform an Activity.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use the Mandate class for handling mandates.","","ruleFollowed","Agent","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:beginningDate","beginning date","date de début","fecha de inicio","Date at which something began.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use Date classes for handling dates.","Datatype property specialized implementation of RiC-E18 (Date entity)","date","Thing","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:birthDate","birth date","date de naissance","fecha de nacimiento","Date at which a Person was born.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use Date classes for handling dates.","Datatype property specialized implementation of RiC-E18 (Date entity)","beginningDate","Person","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:carrierExtent","carrier extent","mesure du support","extensión del soporte","Number of physical units and/or physical dimensions of the carrier of an Instantiation. In order to manage an Instantiation of a record resource it is necessary to note the extent of the carrier as well as that of the Instantiation itself. Whether it is necessary to note dimensions, the number of relevant units, or both, depends on the nature of the carrier and particular business needs.","For digital resources, it may be used to indicate the size of storage capacity (disk, tape, film, etc.). Carrier extent should not be confused with instantiation extent or record resource extent. For a given Record Resource, the instantiation extent may vary, based on format, density of information on the carrier, etc. For example, a CD with a storage capacity of 700 MB (carrier extent) might hold a record of 1500 words (record resource extent) represented in two versions, one a Word document with an instantiation extent of 3 KB and the other a PDF file with an instantiation extent of 5 KB.","Corresponds to RiC-A04 (Carrier Extent attribute)","physicalOrLogicalExtent","Instantiation","rdfs:Literal","1 page [en]; 32.5 x 49 cm (piece of parchment) [en]; 3 GB (1 USB key) [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote, examples (skos:example)."
"rico:classification","classification","classification","clasificación","A term, number or alphanumeric string that is usually taken from an external classification vocabulary or scheme that qualifies a Record Resource.","May be used in a Record Set description when its value is shared by some or all members of the record set. This datatype property is not to be confused with Identifier although, in some cases, the information may be the same.","Corresponds to RiC-A07 (Classification attribute)","","RecordResource","rdfs:Literal","BUD-01-F002 (classification number from a corporate file plan) [en]; human resource management [en]; student registration [en]; financial affairs [en]; digitized items [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote, examples (skos:example)."
