"Class name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subclass of (rdfs:subClassOf)","Disjoint with (owl:disjointWith)","equivalent class (owl:equivalentClass)","Close to (rico:closeTo)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:AccumulationRelation","Accumulation Relation","Relation d’accumulation","Relación de acumulación","Connects at least one Record Resource or Instantiation to at least one Agent, when the Record Resource or Instantiation is or was accumulated by the Agent, be it intentionally (collecting it) or not (receiving it in the course of its activities). The Record Resource(s) or Instantiation(s) is the source of the Relation, and the Agent(s) is the target.",,"Class implementation of RiC-R028 and RiC-R028i relations","OrganicProvenanceRelation | relationHasSource  min 1 (Instantiation or RecordResource) | relationHasTarget  min 1 Agent",,"accumulationRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:Activity","Activity","Activité","Actividad","The doing of something for some human purpose.","Activity is a kind of Event. Activity is specifically used to designate purposeful human activity. Activity may be understood from two perspectives. First it can be understood as leading to an end. The end is the purpose of the Activity, or why the Activity is performed. Second, it can be understood in terms of the processes that lead to achieving the end, how the end is realized through coordinated actions. Purpose and process are complementary understandings of Activity. Together the two perspectives address why the Activity is performed, the expected ends or outcomes; and how the Activity fulfills the purpose. While activity has an intended end, it also has unintended consequences and results, or side-effects. By and large, these may not be the focus of the description, but they are, unquestionably, context. |In a corporate or government context an Activity may also be called a 'function'. An Activity exists in a specific social and cultural context, and within that context is subject to change over time. An Activity may be composed of other Activities.","Corresponds to RiC-E15 (Activity entity)","Event",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:ActivityDocumentationRelation","Activity Documentation Relation","Relation entre activités et ressources archivistiques","Relación de procedencia funcional","Connects at least one Record Resource or Instantiation to at least one Activity, when the Record Resource or Instantiation results from the Activity. The Record Resource(s) or Instantiation(s) is the source of the Relation, and the Activity(-ies) is the target.",,"Class implementation of RiC-R033 and RiC-R033 relations","EventRelation | OrganicOrFunctionalProvenanceRelation | relationHasSource  min 1 (Instantiation or RecordResource) | relationHasTarget  min 1 Activity",,"activityDocumentationRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : Made this relation a subclass of EventRelation. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the . | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:ActivityType","Activity Type","Type d’activité","Tipo de actividad","Categorization of an Activity.","Can be extended with any number of subclasses, e.g. “function/action” and “activity domain”. This allows for a faceted approach that enables an Activity to be categorized using a combination of components, general or more specific. For example, “monitoring” can be used in combination with “election polls” or “water resources”.","Corresponds to RiC-A02 (Activity Type attribute)","Type",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:Agent","Agent","Agent","Agente","A Person, or Group, or an entity created by a Person or Group (Mechanism), or a Position, that acts in the world.","An Agent may have one or more identities; an identity is a constellation of properties or relations that together “identify” the Agent. A Person or Group commonly has one identity, though each also may have one or more alternative identities. Such alternative identities may be shared by more than one Person or Group. Alternative identities include but are not limited to pseudonyms, heteronyms, DBA (Doing Business As), and trade identities. An alternative identity should not be confused with a Position in a Group, for example, presidents, prime ministers, governors, popes, royalty, or bishops. Nor should an alternative identity be confused with a variant name or identifier of the same identity. Agent also includes entities created by a Person or Group that act on behalf of the creating Agent in an autonomous or semi-autonomous manner. Examples of a Mechanism include software agents, robots, and space and underwater probes that generate data (records) in the course of Activity assigned to and in conformance with the instructions given to them by the creating Person or Group.","Corresponds to RiC-E07 (Agent entity)","Thing",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:AgentControlRelation","Agent Control Relation","Relation de contrôle entre agents","Relación de control entre agentes","Connects at least one Agent, to at least another Agent, when the first one(s) control(s) or controlled in a way the activities of the second one(s). The Relation is oriented from the controlling agent to the controlled one: the controlling Agent(s) is the source of the Relation, and the controlled Agent(s) is the target.",,"Class implementation of RiC-R041 and RiC-R041i relations","AgentHierarchicalRelation | AuthorityRelation | relationHasSource  min 1 Agent | relationHasTarget  min 1 Agent",,"agentControlRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:AgentHierarchicalRelation","Agent Hierarchical Relation","Relation hiérarchique entre agents","Relación jerárquica entre agentes","Connects at least one Agent to at least another Agent, when the first one is or was hierarchically superior to the second one. The Relation is oriented towards the 'bottom' of the hierarchical tree: the superior Agent(s) is the source of the Relation, and the inferior Agent(s) is the target.","The hierarchical relation can be an authority relation, or a whole/part relation between two agents.","Class implementation of RiC-R045 and RiC-R045i relations","AgentToAgentRelation | relationHasSource  min 1 Agent | relationHasTarget  min 1 Agent",,"agentHierarchicalRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:AgentName","Agent Name","Nom d’agent","Nombre de Agente","A label, title or term designating an Agent in order to make it distinguishable from other similar entities.",,"Class implementation of a specialization of RiC-A28 (Name attribute)","Name",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:AgentTemporalRelation","Agent Temporal Relation","Relation temporelle entre agents","Relación temporal entre agentes","Connects at least one Agent to at least another Agent that succeeds it chronologically for, for instance, fullfilling some functions or performing some activities. The Relation is oriented chronologically, from the predecessor to the successor: the predecessor Agent(s) is the source of the Relation, and the successor Agent(s) is the target.","There may be zero to many intermediate agents, ignored or unknown, between the two connected agents. Can be used when there is a transfer of function from the first agent to the second agent.","Class implementation of RiC-R016 and RiC-016i relations","AgentToAgentRelation | TemporalRelation | relationHasSource  min 1 Agent | relationHasTarget  min 1 Agent",,"agentTemporalRelation_role self",,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:AgentToAgentRelation","Agent Relation","Relation entre agents","Relación entre agentes","Connects at least two Agents. This Relation is a generic, not oriented one.","Use only if it is not possible to specify a narrower agent to agent relation, for example a WorkRelation.","Class implementation of RiC-R044 and RiC-044i relations","Relation | relationConnects  min 2 Agent",,"agentToAgentRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
