"Object property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Inverse of (owl:inverseOf)","Type (rdf:type)","Property chain axiom (owl:propertyChainAxiom)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:accumulationRelation_role","has the role of the Accumulation Relation","a le rôle de la Relation d’accumulation","desempeña el papel de la Relación de Acumulación","Connects a AccumulationRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the AccumulationRelation class. It should be used only when you have to manage instances of the AccumulationRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"organicProvenanceRelation_role","AccumulationRelation","AccumulationRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the AccumulationRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:activityDocumentationRelation_role","has the role of the Activity Documentation Relation","a le rôle de la Relation entre activités et ressources archivistiques","desempeña el papel de la Relación de procedencia funcional","Connects a ActivityDocumentationRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the ActivityDocumentationRelation class. It should be used only when you have to manage instances of the ActivityDocumentationRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"eventRelation_role; organicOrFunctionalProvenanceRelation_role","ActivityDocumentationRelation","ActivityDocumentationRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the ActivityDocumentationRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:activityIsContextOfRelation","activity is context of relation","activité est le contexte de la relation","actividad es contexto de relación","Connects an Activity to an Agent Temporal Relation (when the Activity is transferred from an Agent to another one) or a Mandate Relation (the Mandate assigns the Activity to the Agent or defines it).",,,"thingIsContextOfRelation","Activity","AgentTemporalRelation ; MandateRelation","asConcernsActivity",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:affectsOrAffected","affects or affected","affecte ou a affecté","afecta o afectaba a","Connects an Event to a Thing on which the Event has or had some significant impact.",,"RiC-R059 ('affects or affected' relation)","hasOrHadParticipant","Event","Thing","isOrWasAffectedBy",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:agentControlRelation_role","has the role of the Agent Control Relation","a le rôle de la Relation de contrôle entre agents","desempeña el papel de la Relación de control entre agentes","Connects a AgentControlRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the AgentControlRelation class. It should be used only when you have to manage instances of the AgentControlRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"agentHierarchicalRelation_role; authorityRelation_role","AgentControlRelation","AgentControlRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the AgentControlRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:agentHasOrHadLocation","agent has or had location","agent a ou a eu pour localisation","agente tiene o tenía como localización","Inverse of 'is or was location of agent' object property.",,,"hasOrHadLocation; isAgentAssociatedWithPlace","Agent","Place","isOrWasLocationOfAgent",,,"2023-10-20 : Property created for RiC-0 1.0. | 2023-10-26 : Added a rdfs:comment. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:agentHierarchicalRelation_role","has the role of the Agent Hierarchical Relation","a le rôle de la Relation hiérarchique entre agents","desempeña el papel de la Relación jerárquica entre agentes","Connects a AgentHierarchicalRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the AgentHierarchicalRelation class. It should be used only when you have to manage instances of the AgentHierarchicalRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"agentToAgentRelation_role","AgentHierarchicalRelation","AgentHierarchicalRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the AgentHierarchicalRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:agentTemporalRelation_role","has the role of the Agent Temporal Relation","a le rôle de la Relation temporelle entre agents","desempeña el papel de la Relación temporal entre agentes","Connects a AgentTemporalRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the AgentTemporalRelation class. It should be used only when you have to manage instances of the AgentTemporalRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"agentToAgentRelation_role; temporalRelation_role","AgentTemporalRelation","AgentTemporalRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the AgentTemporalRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:agentToAgentRelation_role","has the role of the Agent Relation","a le rôle de la Relation entre agents","desempeña el papel de la Relación entre agentes","Connects a AgentToAgentRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the AgentToAgentRelation class. It should be used only when you have to manage instances of the AgentToAgentRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"relation_role","AgentToAgentRelation","AgentToAgentRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the AgentToAgentRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:appellationRelation_role","has the role of the Appellation Relation","a le rôle de la Relation d’appellation","desempeña el papel de la Relación de denominación","Connects a AppellationRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the AppellationRelation class. It should be used only when you have to manage instances of the AppellationRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"relation_role","AppellationRelation","AppellationRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the AppellationRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
