"Datatype property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Example(s) (skos:example)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:accruals","accruals","accroissements","ingresos","Information on the anticipated accession(s) to the Record Set.","See also accrualsStatus","corresponds to RiC-A01 (Accruals attribute)","","RecordSet","rdfs:Literal","Accruing - there is an agreement with the creator that additional snapshots of their email directory will be accessioned at yearly intervals [en]; Non-accruing [en]; Unknown [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the IRI, mapping to RiC-CM (rico:RiCCMCorrespondingComponent), labels, skos:scopeNote, examples (skos:example)."
"rico:accrualsStatus","accruals status","statut des accroissements","estado de los ingresos","Information on the status of possible accruals","A text statement or single words such as “Closed” to indicate that no additional Record Resource will (or is anticipated to) be added to the Record Set; “Open” to indicate that additional records or record sets will (or are expected to) be added to the Record Set; or “Unknown” to indicate that this information is not available, for example. See also accruals","specialization of RiC-A01 (Accruals attribute)","","RecordSet","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the IRI, mapping to RiC-CM (rico:RiCCMCorrespondingComponent), labels, description (rdfs:comment), skos:scopeNote."
"rico:accumulationDate","accumulation date","date d’accumulation","fecha de acumulación","A date at which a Record Resource or Instantiation was or will be accumulated.","Datatype property analogue of 'hasAccumulationDate', which is provided for usability reasons. May be deprecated and removed later on. Use only if you don’t use Date classes for handling dates.","","date","Instantiation; RecordResource","rdfs:Literal","","2024-12-19 : Added in RiC-O 1.1. | 2025-02-19 : Changed definition (added "or will be")."
"rico:allMembersWithAccumulationDate","all members with accumulation date","des membres ayant tous pour date d’accumulation","todos sus miembros como fecha de acumulación","Date at which all of the present or past members of a Record Set were or will be accumulated.","Datatype property analogue of 'hasOrHadAllMembersWithAccumulationDate', which is provided for usability reasons. May be deprecated and removed later on. Use only if you don’t use Date classes for handling dates.","","date","RecordSet","rdfs:Literal","","2024-12-19 : Added in RiC-O 1.1. | 2025-02-19 : Changed definition (added "or will be")."
"rico:allMembersWithCreationDate","all members with creation date","des membres ayant tous pour date de création","todos sus miembros como fecha de creación","Date at which all of the present or past members of a Record Set were or will be created.","Datatype property analogue of 'hasOrHadAllMembersWithCreationDate', which is provided for usability reasons. May be deprecated and removed later on. Use only if you don’t use Date classes for handling dates.","RiC-R081i ('has or had all members with creation date' relation).","beginningDate","RecordSet","rdfs:Literal","","2024-12-19 : Added in RiC-O 1.1. | 2025-02-19 : Changed definition (added "or will be")."
"rico:altimetricSystem","altimetric system","système altimétrique","sistema altimétrico","Reference system used for altitude","","","referenceSystem","Coordinates","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:altitude","altitude","altitude","altitud","The height of a Place above a reference level, especially above sea level.","Property of the Coordinates class. If you don't use this class, use geographicalCoordinates property, a property of Place class.","","measure","Coordinates","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:authenticityNote","authenticity note","note sur l’authenticité","nota de autenticidad","Information on the evidence that a Record Resource or Instantiation is what it purports to be, was created or sent by the said Agent at the said time, and has not been tampered with, corrupted, or forged.","May be used in a Record Set description when its value is shared by some or all members of the Record Set. For digital records, it may include results from automated means of checking the validity of signatures and timestamp. In particular cases it may be contextually related to the state attribute, for example, a document can be an original or a copy, either of which can be authentic or a forgery.","Corresponds to RiC-A03 (Authenticity Note attribute)","note","Instantiation; RecordResource","rdfs:Literal","The deed is digitally signed by the Notary. The electronic signature validity cannot be assessed, but the content was not modified from the moment of signing. [en]; The letter is unsigned. [en]; The record bears signatures. [en]; The timestamp exists but cannot be verified. [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote, examples (skos:example). | 2025-01-17 : Made this property a subproperty of the new rico:note datatype property. Slightly modified its definition (rdfs:comment)."
"rico:authorizingMandate","authorizing mandate","mandat","norma de control","Information on a Mandate that authorizes an Agent to perform an Activity.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use the Mandate class for handling mandates.","","ruleFollowed","Agent","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:beginningDate","beginning date","date de début","fecha de inicio","Date at which something began.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use Date classes for handling dates.","Datatype property specialized implementation of RiC-E18 (Date entity)","date","Thing","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
